,index,bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
57,11,160.0,437.0,26.0,50.0,8591.0,11.0,4.0,15.0,True,4,False,NaN,52-26,True
58,12,2713.0,37.0,2.0,3.0,1.0,1.0,1.0,22.0,True,2,True,4.0,NT-42-45,False
59,13,3206.0,42.0,2.0,3.0,2.0,1.0,1.0,24.0,True,2,True,4.0,NT-44-45,False
60,14,2260.0,37.0,2.0,3.0,1.0,0.0,1.0,24.0,True,2,True,4.0,NT-46-45,False
61,15,3287.0,30.0,2.0,3.0,1.0,1.0,1.0,23.0,True,2,True,4.0,NT-48-45,False
62,16,3035.0,41.0,2.0,3.0,2.0,0.0,1.0,25.0,True,2,True,4.0,NT-50-40,False
63,17,2507.0,35.0,3.0,3.0,1.0,0.0,1.0,22.0,True,2,True,4.0,NT-50-45,False
64,18,2184.0,34.0,3.0,4.0,2.0,1.0,1.0,23.0,True,2,True,4.0,NT-52-45,False
65,0,668.0,27.0,6.0,22.0,25.0,26.0,21.0,24.0,True,2,False,NaN,42-22,True
66,1,70.0,31.0,17.0,65.0,8041.0,10.0,20.0,69.0,True,4,False,NaN,42-22,True
67,2,852.0,31.0,24.0,25.0,6.0,2.0,4.0,23.0,True,2,False,NaN,44-22,True
68,3,168.0,13.0,11.0,55.0,8274.0,6.0,8.0,95.0,True,4,False,NaN,44-22,True
69,4,535.0,42.0,8.0,8.0,15.0,103.0,105.0,18.0,True,2,False,NaN,46-24,True
70,5,46.0,65.0,24.0,35.0,6982.0,17.0,12.0,27.0,True,4,False,NaN,46-24,True
71,6,673.0,52.0,12.0,10.0,10.0,4.0,2.0,22.0,True,2,False,NaN,48-24,True
72,7,144.0,121.0,25.0,31.0,8469.0,12.0,8.0,20.0,True,4,False,NaN,48-24,True
73,8,834.0,43.0,8.0,6.0,5.0,6.0,7.0,29.0,True,2,False,NaN,50-26,True
74,9,34.0,591.0,52.0,39.0,8080.0,26.0,13.0,7.0,True,4,False,NaN,50-26,True
75,10,815.0,50.0,13.0,10.0,4.0,1.0,8.0,29.0,True,2,False,NaN,52-26,True
76,11,88.0,361.0,52.0,69.0,8378.0,5.0,4.0,9.0,True,4,False,NaN,52-26,True
77,12,2219.0,59.0,6.0,3.0,1.0,0.0,0.0,20.0,True,2,True,4.0,NT-34-30,False
78,13,0.0,0.0,0.0,9752.0,13637.0,1.0,0.0,5.0,True,4,True,1.0,NT-34-30,False
79,14,2915.0,66.0,5.0,1.0,1.0,0.0,0.0,19.0,True,2,True,4.0,NT-36-30,False
80,15,0.0,0.0,0.0,10061.0,14131.0,0.0,0.0,10.0,True,4,True,1.0,NT-36-30,False
81,16,3329.0,58.0,6.0,2.0,0.0,0.0,0.0,17.0,True,2,True,4.0,NT-38-30,False
82,17,3784.0,56.0,2.0,2.0,1.0,0.0,0.0,19.0,True,2,True,4.0,NT-40-30,False
83,18,3023.0,107.0,27.0,7.0,8.0,1.0,1.0,23.0,True,2,True,4.0,NT-40-46,False
84,19,2984.0,51.0,2.0,2.0,1.0,0.0,0.0,21.0,True,2,True,4.0,NT-42-30,False
85,20,2745.0,53.0,2.0,3.0,1.0,0.0,0.0,19.0,True,2,True,4.0,NT-44-30,False
86,0,898.0,21.0,5.0,16.0,15.0,12.0,2.0,22.0,True,2,False,NaN,42-22,True
