"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
103,0.0,0.0,14.0,15099.0,12.0,1.0,0.0,1.0,True,3,True,1.0,NT-38-60,False
104,211.0,96.0,28.0,42.0,2.0,0.0,0.0,24.0,True,2,True,4.0,36-38,False
105,0.0,1.0,15.0,2914.0,16.0,0.0,0.0,3.0,True,3,False,NaN,36-38,False
106,133.0,70.0,4.0,4.0,2.0,0.0,0.0,14.0,True,2,True,4.0,38-40,True
107,0.0,5.0,36.0,3042.0,22.0,0.0,1.0,5.0,True,3,False,NaN,38-40,True
108,122.0,115.0,7.0,6.0,24.0,1.0,1.0,19.0,True,2,True,4.0,40-42,True
109,0.0,40.0,197.0,3146.0,17.0,3.0,4.0,10.0,True,3,False,NaN,40-42,True
110,8.0,908.0,98.0,3334.0,22.0,0.0,0.0,2.0,True,3,False,NaN,42-44,True
111,32.0,1788.0,430.0,7.0,1.0,0.0,0.0,18.0,True,2,False,NaN,42-44,True
112,1.0,1679.0,67.0,3530.0,29.0,0.0,0.0,0.0,True,3,False,NaN,44-36,True
113,69.0,1221.0,656.0,40.0,1.0,0.0,1.0,17.0,True,2,False,NaN,44-36,True
114,0.0,1950.0,159.0,3681.0,8.0,0.0,0.0,0.0,True,3,False,NaN,46-38,True
115,53.0,251.0,2100.0,104.0,2.0,0.0,0.0,16.0,True,2,False,NaN,46-38,True
116,0.0,170.0,988.0,3920.0,5.0,0.0,0.0,0.0,True,3,False,NaN,48-40,True
117,76.0,733.0,134.0,104.0,2.0,0.0,0.0,20.0,True,2,False,NaN,48-40,True
118,0.0,0.0,42.0,11087.0,14.0,0.0,0.0,0.0,True,3,True,1.0,NT-30-46,False
119,93.0,392.0,3.0,7.0,3.0,0.0,1.0,19.0,True,2,True,4.0,NT-30-46,False
120,0.0,0.0,44.0,12043.0,11.0,0.0,0.0,0.0,True,3,True,1.0,NT-32-48,False
121,116.0,553.0,9.0,9.0,3.0,1.0,1.0,23.0,True,2,True,4.0,NT-32-48,False
122,0.0,0.0,61.0,11766.0,11.0,0.0,0.0,0.0,True,3,True,1.0,NT-34-50,False
123,98.0,423.0,4.0,7.0,3.0,0.0,0.0,22.0,True,2,True,4.0,NT-34-50,False
124,0.0,0.0,37.0,12778.0,8.0,0.0,0.0,0.0,True,3,True,1.0,NT-36-52,False
125,86.0,682.0,8.0,12.0,3.0,0.0,1.0,21.0,True,2,True,4.0,NT-36-52,False
126,0.0,0.0,41.0,13184.0,19.0,0.0,0.0,0.0,True,3,True,1.0,NT-38-54,False
127,142.0,725.0,5.0,10.0,3.0,1.0,1.0,22.0,True,2,True,4.0,NT-38-54,False
128,133.0,134.0,3.0,6.0,3.0,1.0,1.0,24.0,True,2,True,4.0,NT-40-56,False
129,0.0,0.0,59.0,12321.0,9.0,0.0,0.0,0.0,True,3,True,1.0,NT-40-56,False
